loggingTime(txt),locationTimestamp_since1970(s),locationLatitude(WGS84),locationLongitude(WGS84),locationAltitude(m),locationSpeed(m/s),locationCourse(°),locationVerticalAccuracy(m),locationHorizontalAccuracy(m),locationFloor(Z),locationHeadingTimestamp_since1970(s),locationHeadingX(µT),locationHeadingY(µT),locationHeadingZ(µT),locationTrueHeading(°),locationMagneticHeading(°),locationHeadingAccuracy(°),accelerometerTimestamp_sinceReboot(s),accelerometerAccelerationX(G),accelerometerAccelerationY(G),accelerometerAccelerationZ(G),gyroTimestamp_sinceReboot(s),gyroRotationX(rad/s),gyroRotationY(rad/s),gyroRotationZ(rad/s),motionTimestamp_sinceReboot(s),motionYaw(rad),motionRoll(rad),motionPitch(rad),motionRotationRateX(rad/s),motionRotationRateY(rad/s),motionRotationRateZ(rad/s),motionUserAccelerationX(G),motionUserAccelerationY(G),motionUserAccelerationZ(G),motionAttitudeReferenceFrame(txt),motionQuaternionX(R),motionQuaternionY(R),motionQuaternionZ(R),motionQuaternionW(R),motionGravityX(G),motionGravityY(G),motionGravityZ(G),motionMagneticFieldX(µT),motionMagneticFieldY(µT),motionMagneticFieldZ(µT),motionMagneticFieldCalibrationAccuracy(Z),activityTimestamp_sinceReboot(s),activity(txt),activityActivityConfidence(Z),activityActivityStartDate(txt),deviceOrientation(Z)
2018-04-08 10:35:58.906,1523201757.999743,30.31538277600709,-97.74170618001463,199.2424,0.2208581,117.6893997192383,3.0,12.0,-9999,1523201758.8218222,-1731.3572998046882,-1389.559326171875,-1473.0113525390618,206.6037445068359,202.7709197998047,10,213569.324951875,0.989044189453125,0.028961181640625,-0.007537841796875,213569.324951875,-0.012612997238724279,-0.0076315544197310655,0.0011851066850852609,213569.306200875,-2.834534800966257,1.5260223994467268,-0.0223517941030733,7.721316069364548e-05,-0.006098139099776746,4.038338374812156e-05,0.00993400812149048,0.003116980195045471,0.02039474248886108,XArbitraryCorrectedZVertical,-0.6816940307617188,-0.113663338124752,0.7153933644294739,-0.1028893142938614,0.998748242855072,0.02234993316233158,-0.04474778845906258,0,0,0,-1,213569.216161875,automotive,0,2018-04-08 10:35:58.798 -0500,4
2018-04-08 10:35:59.006,1523201757.999743,30.31538277600709,-97.74170618001463,199.2424,0.2208581,117.6893997192383,3.0,12.0,-9999,1523201758.921881,-1731.3486328125,-1389.6082763671882,-1473.121337890625,206.6038665771484,202.7710418701172,10,213569.424956875,1.001220703125,0.0266876220703125,-0.012054443359375,213569.424956875,-0.01156557598199612,-0.00436385576220384,9.241168982574956e-05,213569.406205875,-2.8345432943814712,1.5262254362038652,-0.022383584868701633,-0.001006405800580978,0.004781373776495457,-3.2593525247648363e-06,-0.005989313125610352,0.007357656955718994,0.03201746940612793,XArbitraryCorrectedZVertical,-0.6817652583122253,-0.1136822178959846,0.7153261303901672,-0.1028638556599617,0.9987565875053406,0.02238171547651291,-0.044544972479343414,0,0,0,-1,213569.216161875,automotive,0,2018-04-08 10:35:58.798 -0500,4
2018-04-08 10:35:59.106,1523201757.999743,30.31538277600709,-97.74170618001463,199.2424,0.2208581,117.6893997192383,3.0,12.0,-9999,1523201759.046791,-1731.311767578125,-1389.8472900390618,-1473.961669921875,206.6036529541016,202.7708282470703,10,213569.524962875,0.99273681640625,0.03106689453125,-0.0128173828125,213569.524962875,-0.01261938882534047,-0.001098553949657686,-0.002058623522631251,213569.506211875,-2.8345308175749935,1.526372634759886,-0.02241312662119942,5.184300243854523e-05,0.005857794545590878,-0.0010862651979550721,-0.01043552160263062,0.007343396544456481,0.037378907203674316,XArbitraryCorrectedZVertical,-0.6818154454231262,-0.1137045845389366,0.715276837348938,-0.1028498709201813,0.9987626075744628,0.022411249577999108,-0.04439793154597282,0,0,0,-1,213569.216161875,automotive,0,2018-04-08 10:35:58.798 -0500,4
2018-04-08 10:35:59.206,1523201758.9997392,30.315388767090393,-97.74171933912451,199.27700000000002,0.16941610000000001,117.6893997192383,3.0,12.0,-9999,1523201759.17149,-1731.3101806640618,-1389.8543701171882,-1473.868408203125,206.6060791015625,202.77325439453116,10,213569.624967875,0.994476318359375,0.0276641845703125,-0.0098419189453125,213569.624967875,-0.01155252649265473,-0.01198768701477368,0.002269279564856519,213569.606216875,-2.8345333132065735,1.5264645984966507,-0.022422461776722982,-0.0009606471285223961,-0.01049293205142021,0.001129751326516271,0.004041314125061035,0.002573311328887939,0.02253180742263794,XArbitraryCorrectedZVertical,-0.6818479299545288,-0.1137117743492126,0.7152459621429443,-0.1028405204415321,0.9987663030624391,0.022420583292841908,-0.04430606588721275,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:35:59.306,1523201758.9997392,30.315388767090393,-97.74171933912451,199.27700000000002,0.16941610000000001,117.6893997192383,3.0,12.0,-9999,1523201759.271806,-1731.2906494140618,-1389.948974609375,-1473.2735595703118,206.60406494140616,202.771240234375,10,213569.724974875,1.001983642578125,0.0230560302734375,-0.0178070068359375,213569.724974875,-0.00945262397312725,-0.008719455725028434,0.001169926666871809,213569.706223875,-2.834523965589151,1.526569125971739,-0.0224952102431642,-0.002025431022047997,-0.002874220488592982,-0.001044042175635695,-0.001592397689819336,0.005872771143913269,0.0286681056022644,XArbitraryCorrectedZVertical,-0.6818804740905762,-0.1137462854385376,0.7152135372161865,-0.1028130725026131,0.9987695217132568,0.02249331213533878,-0.04420160502195358,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:35:59.406,1523201758.9997392,30.315388767090393,-97.74171933912451,199.27700000000002,0.16941610000000001,117.6893997192383,3.0,12.0,-9999,1523201759.371948,-1731.3226318359382,-1389.791015625,-1474.1234130859382,206.6009063720703,202.7680816650391,10,213569.824979875,1.00079345703125,0.0261077880859375,-0.0178375244140625,213569.824979875,-0.007356982511343895,-0.001095890788567607,-0.002091913036257241,213569.806228875,-2.8344807618202816,1.526720586941634,-0.022524046731222217,7.359590381383896e-05,-0.003954553976655006,0.0021641389466822147,-0.005702793598175049,0.003326252102851868,0.03204160928726196,XArbitraryCorrectedZVertical,-0.6819304823875427,-0.1137790530920029,0.7151609063148499,-0.1028099805116653,0.9987753033638,0.02252214215695858,-0.044050287455320365,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:35:59.506,1523201758.9997392,30.315388767090393,-97.74171933912451,199.27700000000002,0.16941610000000001,117.6893997192383,3.0,12.0,-9999,1523201759.496808,-1731.3304443359382,-1389.7406005859382,-1473.60009765625,206.60400390625,202.77117919921884,10,213569.924985875,0.9973297119140624,0.0255126953125,-0.0208587646484375,213569.924985875,-0.011550129647673659,-0.008723184150554545,-0.0009600695729735652,213569.906234875,-2.8345326333782364,1.526860293487229,-0.02255181336700478,0.002175381407141685,-0.0017686237115412948,0.002144118538126349,0.005232095718383789,0.002779692411422729,0.02608847618103027,XArbitraryCorrectedZVertical,-0.6819817423820496,-0.1137784570455551,0.7151173949241638,-0.102774016559124,0.9987809658050536,0.02254990115761757,-0.04391073063015938,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:35:59.606,1523201758.9997392,30.315388767090393,-97.74171933912451,199.27700000000002,0.16941610000000001,117.6893997192383,3.0,12.0,-9999,1523201759.5968552,-1731.286865234375,-1389.9732666015618,-1473.501220703125,206.6002960205078,202.7674713134766,10,213570.024990875,1.00592041015625,0.0254058837890625,-0.0234527587890625,213570.024990875,-0.01156930440752223,-0.0043625241816588,0.001164067712473635,213570.006239875,-2.8344826337568034,1.527055603405202,-0.02254982727114192,0.001119825057685375,0.008035328239202498,-0.004323015455156565,-0.00560992956161499,0.009617611765861513,0.02629011869430542,XArbitraryCorrectedZVertical,-0.6820488572120667,-0.1138048022985458,0.7150478959083557,-0.1027813851833344,0.9987892508506776,0.022547915577888492,-0.043715648353099816,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:35:59.706,1523201758.9997392,30.315388767090393,-97.74171933912451,199.27700000000002,0.16941610000000001,117.6893997192383,3.0,12.0,-9999,1523201759.5968552,-1731.286865234375,-1389.9732666015618,-1473.501220703125,206.6002960205078,202.7674713134766,10,213570.124996875,0.999298095703125,0.03106689453125,-0.0233001708984375,213570.124996875,-0.009473662945738872,0.003261040754802027,-0.0020977719906554162,213570.106245875,-2.834472958137302,1.527160830995431,-0.02260422574532708,0.0011096466332674029,0.008044584654271603,-0.001112386817112565,-0.009458482265472412,0.004268422722816467,0.03053373098373413,XArbitraryCorrectedZVertical,-0.6820827126502991,-0.1138328909873962,0.7150141596794128,-0.1027602329850197,0.9987925887107848,0.02260230109095573,-0.04361049085855484,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:35:59.806,1523201758.9997392,30.315388767090393,-97.74171933912451,199.27700000000002,0.16941610000000001,117.6893997192383,3.0,12.0,-9999,1523201759.7218509,-1731.3524169921882,-1389.603759765625,-1472.4119873046882,206.5984802246094,202.7656555175781,10,213570.225001875,0.9901275634765624,0.0288238525390625,-0.012939453125,213570.225001875,-0.00947659242293796,0.004350539956753443,-0.002102565680617559,213570.206250875,-2.8344376804672717,1.52732584281986,-0.02256471175362993,5.811266601085663e-05,0.003697042120620608,0.001050287275575101,-0.003699064254760742,0.005147159099578857,0.02835482358932495,XArbitraryCorrectedZVertical,-0.6821420192718506,-0.1138393580913544,0.7149543762207031,-0.1027770563960075,0.9988009929656982,0.02256279624998569,-0.04344573244452477,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:35:59.906,1523201758.9997392,30.315388767090393,-97.74171933912451,199.27700000000002,0.16941610000000001,117.6893997192383,3.0,12.0,-9999,1523201759.846681,-1731.4013671875,-1389.3516845703118,-1473.0943603515618,206.5987701416016,202.7659454345703,10,213570.325006875,0.9980010986328124,0.02801513671875,-0.010467529296875,213570.325006875,-0.01261725829646841,-0.0032762207730154787,-0.0009773801200590804,213570.306255875,-2.8344382543271465,1.527469224460732,-0.022623869371225732,0.002170932479202747,0.008051029406487942,-0.004340108018368483,-0.01266050338745117,0.01021496951580048,0.03318583965301514,XArbitraryCorrectedZVertical,-0.6821898221969604,-0.1138675659894943,0.7149081230163574,-0.1027483493089676,0.9988055229187012,0.02262193895876408,-0.04330244660377502,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:36:00.006,1523201758.9997392,30.315388767090393,-97.74171933912451,199.27700000000002,0.16941610000000001,117.6893997192383,3.0,12.0,-9999,1523201759.9468482,-1731.36767578125,-1389.5303955078118,-1472.785400390625,206.5997772216797,202.7669525146484,10,213570.425012875,0.9878692626953124,0.0324859619140625,-0.0094146728515625,213570.425012875,-0.01158821285126179,0.005440305474813868,-0.0010223875424814198,213570.406261875,-2.8344498220759515,1.527646735189309,-0.0226948410272987,-0.0009945165365934374,0.004784197546541691,-0.001093011582270265,-0.01300257444381714,0.006054669618606567,0.04170602560043335,XArbitraryCorrectedZVertical,-0.6822497248649597,-0.1138980537652969,0.7148518562316895,-0.1027098819613457,0.998811900615692,0.02269289270043373,-0.04312509298324585,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:36:00.106,1523201758.9997392,30.315388767090393,-97.74171933912451,199.27700000000002,0.16941610000000001,117.6893997192383,3.0,12.0,-9999,1523201760.071813,-1731.2264404296882,-1390.294189453125,-1473.099365234375,206.5986175537109,202.7657928466797,10,213570.525017875,0.9904327392578124,0.0277099609375,-0.0126495361328125,213570.525017875,-0.0126239161991936,-0.002185389990519023,8.948221262666242e-05,213570.506266875,-2.834428155932151,1.5277747440221119,-0.02273504796380594,0.001136926002800465,-0.006114714313298464,0.0010939307976514099,0.001198709011077881,0.0048090219497680655,0.027478992938995358,XArbitraryCorrectedZVertical,-0.6822918653488159,-0.1139263436198235,0.7148090600967407,-0.1026965752243996,0.9988164901733398,0.022733088582754142,-0.04299719631671906,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:36:00.206,1523201759.9997358,30.3153977112098,-97.74173898442824,199.2734,0.0617384,117.6893997192383,3.0,12.0,-9999,1523201760.196697,-1731.2725830078118,-1390.0576171875,-1473.803466796875,206.6019744873047,202.7691497802734,10,213570.625023875,0.9984130859375,0.0257415771484375,-0.012054443359375,213570.625023875,-0.013664679553196571,-0.0065439194305427035,0.00011531487520043101,213570.606272875,-2.834489622583444,1.5278987624731961,-0.02273638632387202,0.001110706478357315,0.0058645252138376245,-0.001100737368687987,-0.003719925880432129,0.006882891058921814,0.0295524001121521,XArbitraryCorrectedZVertical,-0.682339608669281,-0.1139122247695923,0.7147700190544128,-0.1026671007275581,0.9988218545913696,0.022734427824616432,-0.0428733266890049,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:36:00.306,1523201759.9997358,30.3153977112098,-97.74173898442824,199.2734,0.0617384,117.6893997192383,3.0,12.0,-9999,1523201760.296727,-1731.371337890625,-1389.519775390625,-1473.3309326171882,206.6049041748047,202.7720794677734,10,213570.72502816672,0.99200439453125,0.030914306640625,-0.0130615234375,213570.72502816672,-0.013672669036466809,-0.0021872542032820783,-0.0009755159072960248,213570.70627716673,-2.83454789752536,1.5280767357940952,-0.02279059729517859,7.440615445375443e-05,0.0015027646441012619,-0.0032116910442709923,-0.009555220603942871,0.004860296845436096,0.034730374813079834,XArbitraryCorrectedZVertical,-0.6824033260345459,-0.1139207854866982,0.7147149443626404,-0.1026175767183304,0.9988282322883606,0.02278862521052361,-0.042695511132478714,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:36:00.406,1523201759.9997358,30.3153977112098,-97.74173898442824,199.2734,0.0617384,117.6893997192383,3.0,12.0,-9999,1523201760.396751,-1731.2293701171882,-1390.292236328125,-1473.9881591796882,206.6044616699219,202.7716369628906,10,213570.82503416672,0.989959716796875,0.026763916015625,-0.0138092041015625,213570.82503416672,-0.0126305741019188,-0.001094559208022567,0.0011563445453124052,213570.80628316672,-2.834524799554484,1.5281057970268708,-0.022802899599922308,-0.003101594746112823,-0.001756110228598118,0.0032606185413897038,0.0037496089935302726,0.0018725395202636719,0.03029155731201172,XArbitraryCorrectedZVertical,-0.6824116706848145,-0.1139345318078995,0.7147043943405151,-0.1026199460029602,0.9988291263580322,0.02280092425644398,-0.0426664687693119,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:36:00.506,1523201759.9997358,30.3153977112098,-97.74173898442824,199.2734,0.0617384,117.6893997192383,3.0,12.0,-9999,1523201760.4968472,-1731.2196044921882,-1390.3365478515618,-1473.4559326171882,206.6069641113281,202.7741394042969,10,213570.92503916673,0.9964447021484376,0.0240936279296875,-0.0147552490234375,213570.92503916673,-0.01471636186766886,-0.005456284441354343,-0.000954476934684399,213570.9062881667,-2.83458997732943,1.5282326862274118,-0.02279785226561684,-0.0020455541089177127,-0.0006592611316591501,3.6848541640210904e-05,-0.004892468452453613,0.004853039979934692,0.03091251850128174,XArbitraryCorrectedZVertical,-0.6824610233306885,-0.1139170080423355,0.7146642208099365,-0.1025911644101143,0.9988347291946412,0.02279587835073471,-0.04253973439335823,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:36:00.606,1523201759.9997358,30.3153977112098,-97.74173898442824,199.2734,0.0617384,117.6893997192383,3.0,12.0,-9999,1523201760.597063,-1731.20703125,-1390.3961181640618,-1473.001953125,206.6039886474609,202.7711639404297,10,213571.02504516672,0.9903106689453124,0.031768798828125,-0.0118560791015625,213571.02504516672,-0.01261432881926932,-0.004365719974966895,-0.0009725864300969377,213571.00629416673,-2.834536310224397,1.528335825689315,-0.0228483783985959,-0.004150519147515297,-0.0006527360528707504,-0.0010243552969768641,-0.004773437976837158,0.003993824124336243,0.02498060464859009,XArbitraryCorrectedZVertical,-0.6824918389320374,-0.1139585897326469,0.7146286368370056,-0.1025871261954308,0.9988377690315248,0.02284638956189156,-0.04243665933609009,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:36:00.706,1523201759.9997358,30.3153977112098,-97.74173898442824,199.2734,0.0617384,117.6893997192383,3.0,12.0,-9999,1523201760.597063,-1731.20703125,-1390.3961181640618,-1473.001953125,206.6039886474609,202.7711639404297,10,213571.1250501667,0.992095947265625,0.031524658203125,-0.010284423828125,213571.1250501667,-0.009463010301378557,-0.007627293361986937,0.0033084450222054377,213571.1062991667,-2.8345543796070025,1.528468116496785,-0.022864698594006992,-0.0009960923343896868,-0.003904670011252165,0.002186020836234093,0.007565438747406006,0.004206389188766479,0.01956892013549805,XArbitraryCorrectedZVertical,-0.682539165019989,-0.1139650419354439,0.7145853638648987,-0.1025675907731056,0.9988432526588441,0.02286270633339882,-0.04230451583862305,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
2018-04-08 10:36:00.806,1523201759.9997358,30.3153977112098,-97.74173898442824,199.2734,0.0617384,117.6893997192383,3.0,12.0,-9999,1523201760.721857,-1731.2593994140618,-1390.1104736328118,-1472.674560546875,206.6044006347656,202.7715759277344,10,213571.22505516672,1.003265380859375,0.0254974365234375,-0.016754150390625,213571.22505516672,-0.00841345851577833,-0.006537261527817507,0.0032969934295180967,213571.20630416673,-2.8345337042027,1.528631630356541,-0.02285507089333789,4.2510218918323524e-05,-0.001715513179078698,0.00216198293492198,-0.001886665821075439,0.006275951862335205,0.02604317665100098,XArbitraryCorrectedZVertical,-0.6825969815254211,-0.1139770373702049,0.7145279049873352,-0.1025689169764519,0.998850166797638,0.02285308204591274,-0.04214119166135788,0,0,0,-1,213569.539591875,automotive,0,2018-04-08 10:35:59.121 -0500,4
